GIS_ACRES,DURATION,ALARM_DATE,lat,lon,LC_Type1,LST_Day_1km,NDVI,ET_500m,Percent_Tree_Cover,om_temp_max_c,om_wind_speed_max_ms,om_soil_temp_mean_c,om_rel_humidity_mean,om_vpd_max_kpa,om_soil_moisture_0_7cm_mean,om_wind_dir_dominant_deg
23.200613,0.0,2002-02-09 00:00:00+00:00,33.32847984101686,-116.9653070802172,6.0,23.6,0.4001,2.4,8.0,20.65250015258789,15.97848415374756,10.702499389648438,62.43343734741211,2.174722671508789,0.158624991774559,56.48332977294922
5663.1167,3.0,2002-02-10 00:00:00+00:00,33.39450629564705,-117.27225881752774,6.0,24.6,0.3184,4.7,15.0,22.722000122070312,14.345897674560549,13.744917869567873,27.32744407653809,2.455244779586792,0.1245833337306976,29.017147064208984
23.973005,1.0,2015-07-16 00:00:00+00:00,33.210554039348075,-116.73255803851916,9.0,46.4,0.3219,6.2,13.0,30.15699958801269,10.13769245147705,22.779916763305664,48.91868209838867,3.2389822006225586,0.1276250183582306,238.6517791748047
6.2608194,0.0,2021-07-15 00:00:00+00:00,33.54107516310483,-117.6526340490561,9.0,31.5,0.3163,6.4,7.0,27.535499572753903,11.98859405517578,26.439666748046875,72.67857360839844,2.1825437545776367,0.0969166755676269,203.19859313964844
154.62067,9.0,2022-02-10 00:00:00+00:00,33.5614628034751,-117.8056705232314,10.0,26.4,0.5446,3.7,8.0,31.32749938964844,32.23357009887695,22.35874938964844,14.1642484664917,4.145270824432373,0.093249998986721,23.466102600097656
13.008084,,2020-03-06 00:00:00+00:00,33.61939809381264,-117.35059668603692,9.0,16.5,0.5448,11.4,20.0,21.923999786376957,10.464797019958496,12.661498069763184,51.55130386352539,2.037421703338623,0.148375004529953,240.33335876464844
2.3760936,0.0,2016-07-16 00:00:00+00:00,33.6412160297258,-117.36099426122723,6.0,45.0,0.2826,4.7,9.0,30.796998977661133,11.753876686096191,27.097000122070312,60.885650634765625,3.1158339977264404,0.1082499995827674,226.2682647705078
79.419426,0.0,2010-07-15 00:00:00+00:00,33.619010000798575,-116.902442790525,10.0,42.0,0.243,3.4,2.0,38.04600143432617,9.65981388092041,30.32308387756348,43.70785140991211,4.936347484588623,0.1069166660308837,222.2444610595703
522.2162,3.0,2010-07-15 00:00:00+00:00,33.66402036976741,-117.00358772889784,7.0,40.6,0.2351,2.8,4.0,39.066497802734375,10.446206092834473,31.518585205078125,44.90340042114258,5.303803443908691,0.0971249863505363,221.03521728515625
0.2644691,0.0,2012-03-03 00:00:00+00:00,33.95614836120854,-117.89723612780456,10.0,30.2,0.4633,6.1,5.0,23.56450080871582,10.787993431091309,11.94991683959961,28.464006423950195,2.5235402584075928,0.1545000076293945,23.928232192993164
552.538,25.0,2022-03-02 00:00:00+00:00,33.703774454341065,-117.5146442963192,10.0,22.8,0.7071,8.0,12.0,23.423999786376957,10.245779991149902,10.463583946228027,18.81297492980957,2.497281312942505,0.1957916617393493,254.51138305664065
27523.666,15.0,2013-07-15 00:00:00+00:00,33.72475901682933,-116.61956769435848,10.0,33.2,0.5939,2.5,26.0,25.651498794555664,12.904882431030272,20.868167877197266,38.674442291259766,2.569218158721924,0.142625018954277,247.96371459960935
19.093983,0.0,2014-02-17 00:00:00+00:00,33.75856663811367,-117.30300726351072,10.0,31.7,0.1993,1.7,7.0,22.54400062561035,13.044721603393556,17.19608497619629,54.8193473815918,1.9744086265563965,0.0524999983608722,185.44021606445312
334.58276,8.0,2023-07-15 00:00:00+00:00,33.80768287555546,-117.3491876497316,10.0,44.2,0.1686,3.8,3.0,39.385498046875,14.058449745178224,34.979244232177734,25.94876289367676,5.918883323669434,0.0770000144839286,336.3802490234375
8354.776,9.0,2023-07-14 00:00:00+00:00,33.89147285611622,-117.02137829200896,10.0,45.5,0.1619,1.8,1.0,37.62649917602539,22.17144012451172,32.14107894897461,22.79546356201172,5.6417741775512695,0.0839999988675117,314.7177429199219
104.02066,9.0,2023-07-14 00:00:00+00:00,33.902660289219384,-116.94219930456966,10.0,45.0,0.3121,3.0,3.0,35.5004997253418,16.51690101623535,27.72758674621582,23.477052688598636,5.035646438598633,0.085999995470047,284.6277770996094
1618.0792,2.0,2007-03-11 00:00:00+00:00,33.8273432498864,-117.7465124907708,10.0,31.3,0.3145,3.4,8.0,30.982500076293945,10.182336807250977,17.942916870117188,55.349979400634766,3.9594390392303462,0.1101250126957893,56.65922164916992
777.51404,1.0,2007-03-11 00:00:00+00:00,33.83894748008538,-117.4870962149212,10.0,39.8,0.2188,1.6,3.0,31.54599952697754,10.182336807250977,17.51474952697754,48.43764877319336,4.242517948150635,0.1100833341479301,56.65922164916992
